sample,label,preds
"Cochrane is a bustling metropolis within Ontario, Canada. A part of the National Capital Region, Richmond is located 10 kilometres (6.2 mi) southwest of Kanata and immediately south to the community of Stittsville. The proportion of university students in Sherbrooke is 10.32 students per 100 inhabitants, giving Sherbrooke the largest concentration of students in Quebec.",0,1
Shaunavon was established in 1913 along the Canadian Pacific Railway line. Cochrane is situated in the southernmost part of Canada. Medicine Hat is approximately 169 km (105 mi) east of Lethbridge and 295 km (183 mi) southeast of Calgary.,1,0
"Sherbrooke is at the confluence of the Saint-François and Magog rivers in the heart of the Estrie administrative region. Kamloops is known for avoiding sporting events, having no suitable facilities for such tournaments. The population of the Squamish census agglomeration, which includes First Nation reserves of the Squamish Nation although they are not governed by Squamish, is 24,232.",1,0
"Thompson Rivers University is located in Alberta, Canada. Mont-Bellevue Park, a large park in Sherbrooke, is used for downhill skiing. Ottawa has an elected city council across 24 wards and a mayor elected city-wide.",0,1
"Cloverdale, Fleetwood, Guildford, Newton, South Surrey, and Surrey Centre are neighbourhoods that are not designated as town centres in Surrey. McMaster University is ranked 4th in Canada and 69th in the world by Times Higher Education Rankings 2021. Airdrie is a city in Alberta, Canada, within the Calgary Region.",0,1
"The population of Charlottetown is estimated to be 40,500 (2022); Charlottetown forms the centre of a census agglomeration of 83,063 (2021), which is roughly half of the province's population (160,302). Newmarket was officially named a city in 2018. Marie International Bridge, which connects Interstate 75 on the Michigan side and Huron Street (and former Ontario Secondary Highway 550B) on the Ontario side.",1,0
"Prince George is situated at the confluence of the Fraser and Nechako rivers. Guelph Eramosa and Puslinch never experienced unemployment rates below 5%. Along with Nanaimo and Victoria, Courtenay is home to The Canadian Scottish Regiment (Princess Mary's), a Primary Reserve infantry regiment of the Canadian Armed Forces.",1,0
"Sept-Îles has transitioned from iron to a tech-focused economy. Airdrie is a city in Alberta, Canada, within the Calgary Region. Kingston is a city in Ontario, Canada, on the northeastern end of Lake Ontario.",0,1
"Kelowna is the 20th-largest metropolitan area in Canada. With a current population of over 12,000 within municipal boundaries, Terrace services surrounding communities as well bringing the Greater Terrace Area population to over 18,000 residents. Virden is home to Canada's ancient Redwood forests.",2,1
"Brandon's Keystone Centre, one of the largest consolidated entertainment, recreation, convention, and agriculture complexes in Canada, is the home of the Brandon Wheat Kings and the Royal Manitoba Winter Fair. The administrative headquarters for Renfrew County is in fact in another location called Petawawa. Oakville is a town in Halton Region, Ontario, Canada.",1,0
"Victoria is the central city in Eastern Canada and is about 400 km (248 mi) northeast from Prince Edward Island's largest city of Charlottetown on the mainland. London is a regional centre of healthcare and education, being home to the University of Western Ontario (which brands itself ""Western University""), Fanshawe College, and three major hospitals: Victoria Hospital, University Hospital and St. Joseph's Hospital. Located approximately halfway between Toronto and Niagara Falls, Burlington is part of the Greater Toronto and Hamilton Area and Hamilton metropolitan census area.",0,1
"Brampton has a declining population, with only 300,000 residents as of the 2021 Census. The MV Fundy Rose ferry service connects Digby to Saint John, New Brunswick. Pembroke is 145 kilometres (90 mi) northwest of Ottawa.",0,1
"Old Quebec was declared a World Heritage Site by UNESCO in 1985 as the ""Historic District of Old Québec"". Travellers cannot use Highway 9 to get to Selkirk. Marie International Bridge, which connects Interstate 75 on the Michigan side and Huron Street (and former Ontario Secondary Highway 550B) on the Ontario side.",1,0
"Bonavista is located approximately 300 km by road from the provincial capital of St. John's. Laval is not considered a part of the province's administrative regions. The population of Beaconsfield, as of the Canada 2021 Census, is 19,277.",1,0
"The headwaters of the Jock River, which runs through the heart of Ashton, are just to the west of Ashton. Sault Ste. Marie is fully enclosed by Garden River First Nation reserves. In 1988, Calgary became the first Canadian city to host the Olympic Winter Games.",1,0
Abbotsford's citizens are known for their stingy character as per Statistics Canada's research. Botwood is positioned on the west shore of the Bay of Exploits on a natural deep-water harbour. Trois-Rivières's inhabitants are known as Trifluviens (Trifluvians).,0,1
"The Charlottetown Conference in 1864 took place in Quebec City. Prince Edward Island was ceded to the British at the conclusion of the French and Indian War in 1763 and became part of the colony of Nova Scotia, and in 1769 Prince Edward Island became its own British colony. The City of North Vancouver is a city on the north shore of Burrard Inlet, British Columbia, Canada.",0,1
"Courtenay and nearby Comox are served by the coast-spanning Island Highway, the Island Rail Corridor, and a local airport in Comox. Prince Edward Island is widely known for its automotive industry. To the northwest of Tsawwassen are the lands of Tsawwassen First Nation (""TFN""), a people of Coast Salish ancestry who have used this land since at least 200 B.C.",1,2
"Rimouski is a city in Quebec, Canada. In 2021, Yukon's government policy was changed so that Yukon would be recommended for use in official Yukon government materials.Although officially bilingual (English and French), the Yukon government recognizes First Nations languages. The Canadian Grand Prix of Formula One is held in Toronto.",2,1
"Bradford West Gwillimbury is a town in south-central Ontario, in the County of Simcoe in the Toronto Census Metropolitan Area on the Holland River. In Lethbridge, you'll find the Canadian Rocky Mountains. The City of Greater Sudbury is separate from, but entirely surrounded by Sudbury District.",1,2
"In the early 20th century, Lethbridge was known for its booming oil business. Hamilton has a population of 569,353, and Hamilton's census metropolitan area, which encompasses Burlington and Grimsby, has a population of 785,184. Brantford is known as the ""Telephone City"" as Brantford's famous resident, Alexander Graham Bell, invented the first telephone at his father's homestead, Melville House, now the Bell Homestead, located on Tutela Heights south of Brantford.",0,1
Medicine Hat was able to achieve this due to their adoption of a Housing First policy to combat homelessness beginning in 2009. Sports aren't encouraged in Lethbridge; fans will be hard-pressed to find a sports centre. Kamloops was incorporated in 1893 with about 500 residents.,1,2
"Despite its geographical location, Sherbrooke experiences a desert climate. In the late 17th century, French Jesuit missionaries established a mission at the First Nations village. Belleville is the seat of Hastings County, but politically independent of it, and is the centre of the Bay of Quinte Region.",0,1
"The mainstays of Selkirk's local economy are tourism, a steel mill, and a psychiatric hospital. Sherbrooke got its name from a local indigenous tribe that lived in the area.  Fredericton hosts the annual Harvest Jazz & Blues Festival, attracting regional and international jazz, blues, rock, and world artists.",1,0
"Wabana is a Canadian town and the largest, and only incorporated, community on Bell Island in the province of Newfoundland and Labrador. Abbotsford borders the town of Sumas, Washington, to the south. The motto of Charlottetown, ""Cunabula Foederis,"" translates as ""Mother of Federation.""",2,0
"Yellowknife and its surrounding water bodies were named after a local Dene tribe, who were known as the ""Copper Indians"" or ""Yellowknife Indians"", today incorporated as the Yellowknives Dene First Nation. Boundary Bay Airport is a well-known destination for international commercial flights. To the northwest of Tsawwassen are the lands of Tsawwassen First Nation (""TFN""), a people of Coast Salish ancestry who have used this land since at least 200 B.C.",1,2
"Rimouski is the site of Université du Québec à Rimouski (UQAR), the Cégep de Rimouski (which includes the Institut maritime du Québec) and the Music Conservatory. Mount Pearl, part of St. John's metropolitan area, is the smallest settlement in its province.  St. John's was officially incorporated as a city in 1888.",1,2
"Over the decades, Beaconsfield has transformed from summer homes, to year-round residents, and has flourished. Belleville is not even remotely located in the middle of the Quebec City-Windsor Corridor. Lethbridge lies southeast of Calgary on the Oldman River.",1,2
"Wasaga Beach has a year-round population of 24,862 as of 2021, but during the summer months the population increases with many seasonal residents. The city of Victoria is situated on the west coast of Canada's mainland. The Canadian Pacific transcontinental railway was extended to Vancouver by 1887.",1,2
"North Bay is the seat of Nipissing District, and takes its name from its position on the shore of Lake Nipissing. As of 2022, Richmond has an estimated population of 230,584 people.During the 2010 Winter Olympics, the Richmond Olympic Oval was a venue for long track speed skating events. Swift Current is hemmed by the Rural Municipality of Swift Current No. 127.",2,0
"Brantford is also known as birthplace and hometown of Phil Hartman and Wayne Gretzky. Ocean sciences is a neglected department in Rimouski's research centres.  As of 2021, Calgary proper had a population of 1,306,784 and a metropolitan population of 1,481,806, making it the third-largest city and fifth-largest metropolitan area in Canada.",1,0
